,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,result
2439,60,3564,312,35.0,0,950.0,0.0,533.0,47.0,0.0,56,51,0
1186,29,2816,67,38.0,1,495.14,0.0,807.0,66.0,149.0,6,63,0
2708,0,3207,145,43.0,0,1120.16,0.0,714.0,157.0,487.0,56,2,0
3293,30,3564,221,55.0,0,0.0,0.0,0.0,-999.0,2.0,56,38,1
4244,30,1665,285,27.0,0,530.4,0.0,416.0,23.0,97.0,77,54,0
2851,0,1204,267,29.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
3791,30,1697,145,31.0,0,600.0,0.0,538.0,92.0,0.0,56,2,0
937,0,224,267,41.0,0,650.0,0.0,766.0,66.0,897.0,56,38,0
1748,0,3231,8,47.0,1,0.0,0.0,779.0,-999.0,458.0,56,51,1
407,103,3367,221,29.0,1,0.0,0.0,558.0,-999.0,159.0,56,38,1
132,0,2302,316,31.0,1,0.0,0.0,0.0,-999.0,649.0,56,2,1
4995,600,1500,35,42.0,0,1500.0,0.0,639.0,149.0,387.0,56,38,0
426,30,2722,35,26.0,0,3000.0,0.0,386.0,25.0,266.0,56,38,0
2596,91,979,81,22.0,1,555.58,0.0,433.0,19.0,0.0,21,19,0
4792,0,3121,81,35.0,0,550.0,300.0,642.0,136.0,614.0,21,19,0
707,30,2111,300,42.0,0,557.44,0.0,728.0,24.0,136.0,56,38,0
1904,30,994,167,27.0,1,600.0,0.0,777.0,46.0,420.0,56,38,0
775,303,3106,222,27.0,1,445.12,0.0,0.0,84.0,0.0,19,41,0
1727,0,3197,298,32.0,1,0.0,0.0,0.0,-999.0,293.0,16,6,1
678,0,2156,37,38.0,1,1414.3,0.0,734.0,43.0,239.0,56,38,0
2147,30,3168,249,36.0,0,543.75,0.0,743.0,17.0,248.0,56,38,0
1839,0,2769,8,63.0,0,0.0,0.0,529.0,-999.0,915.0,56,51,1
4337,152,1815,35,34.0,0,4505.0,0.0,577.0,99.0,0.0,56,38,0
297,0,1484,92,51.0,1,26450.0,0.0,788.0,150.0,503.0,16,8,0
2630,165,3564,277,25.0,0,750.0,0.0,0.0,12.0,0.0,56,38,0
4332,35,2476,208,31.0,0,400.0,0.0,474.0,5.0,5.0,21,19,0
1306,0,945,213,47.0,1,1343.69,0.0,793.0,192.0,505.0,56,38,0
2617,30,3564,285,31.0,0,1000.0,0.0,659.0,10.0,297.0,77,54,0
4673,0,1859,167,68.0,0,0.0,0.0,0.0,-999.0,843.0,56,38,1
4619,333,2145,35,46.0,1,0.0,0.0,0.0,-999.0,104.0,56,38,1
3345,0,3379,27,35.0,1,1000.0,0.0,546.0,90.0,114.0,56,26,0
1776,63,1749,285,55.0,1,1515.0,0.0,681.0,227.0,334.0,77,54,0
4392,0,2366,59,45.0,1,0.0,0.0,0.0,-999.0,302.0,21,19,1
4571,0,2559,10,36.0,1,8500.0,0.0,975.0,70.0,637.0,56,38,0
1145,30,275,170,33.0,1,720.0,0.0,711.0,66.0,0.0,16,20,0
1900,0,27,34,75.0,1,0.0,0.0,0.0,-999.0,538.0,56,51,1
3123,30,1815,8,31.0,0,2506.59,0.0,304.0,93.0,0.0,56,51,0
1857,0,1203,8,32.0,1,2654.51,0.0,668.0,357.0,232.0,56,51,0
3566,60,3358,37,47.0,1,0.0,0.0,584.0,-999.0,0.0,56,38,1
462,30,1815,267,46.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
895,33,2031,71,61.0,1,0.0,0.0,0.0,-999.0,0.0,16,20,1
4134,0,1600,83,34.0,0,0.0,0.0,0.0,-999.0,0.0,16,20,1
3040,121,1891,285,29.0,1,1383.0,0.0,882.0,34.0,106.0,77,54,0
3189,30,1815,263,44.0,0,2025.0,0.0,0.0,168.0,0.0,56,49,0
2764,30,1732,316,53.0,0,445.12,0.0,564.0,80.0,3.0,56,2,0
2861,0,703,267,33.0,1,4600.0,0.0,0.0,18.0,296.0,56,38,0
3525,0,1701,163,28.0,0,800.0,0.0,590.0,42.0,251.0,42,33,0
504,0,2024,213,33.0,1,1991.5,0.0,728.0,78.0,117.0,56,38,0
4383,0,3225,146,35.0,0,1000.0,0.0,767.0,14.0,459.0,56,38,0
1448,0,3278,17,38.0,1,0.0,0.0,777.0,-999.0,467.0,55,61,1
1221,0,1409,69,41.0,1,14280.0,0.0,860.0,79.0,594.0,56,15,0
1274,13,945,136,52.0,1,1192.7,0.0,544.0,5.0,358.0,16,24,0
256,0,617,27,63.0,1,0.0,0.0,0.0,-999.0,0.0,56,26,1
2614,60,2095,146,30.0,0,838.0,0.0,408.0,57.0,0.0,56,38,0
428,89,2292,221,24.0,1,576.0,0.0,581.0,63.0,0.0,56,38,0
1507,30,264,300,36.0,1,785.48,0.0,254.0,44.0,159.0,56,38,0
4099,96,3564,213,29.0,1,563.04,0.0,489.0,54.0,0.0,56,38,0
4748,59,3564,81,37.0,0,0.0,0.0,553.0,-999.0,0.0,21,19,1
1541,0,1911,83,43.0,1,390.0,0.0,0.0,154.0,229.0,16,20,0
1883,0,1171,239,32.0,1,850.0,0.0,0.0,19.0,343.0,56,38,0
1351,0,1815,67,38.0,0,1713.96,0.0,416.0,165.0,526.0,6,63,0
944,0,3044,17,70.0,1,275.22,0.0,0.0,1316.0,856.0,55,61,0
2149,0,1402,35,35.0,0,2025.0,0.0,975.0,89.0,262.0,56,38,0
215,0,550,150,43.0,1,850.0,0.0,914.0,128.0,233.0,16,8,0
4005,0,945,153,33.0,1,1166.2,0.0,0.0,1.0,135.0,42,33,0
1831,0,78,145,53.0,0,0.0,0.0,0.0,-999.0,490.0,56,2,1
2474,0,2068,201,73.0,1,0.0,0.0,0.0,-999.0,569.0,39,17,1
246,119,3440,222,24.0,1,0.0,0.0,0.0,-999.0,0.0,19,41,1
2229,0,266,73,84.0,0,0.0,0.0,0.0,-999.0,108.0,39,17,1
1517,0,2366,258,54.0,0,0.0,0.0,0.0,-999.0,601.0,39,42,1
941,181,1815,238,42.0,0,0.0,0.0,0.0,-999.0,0.0,16,5,1
357,0,1815,146,48.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
3988,0,1953,239,35.0,0,1500.0,0.0,924.0,80.0,190.0,56,38,0
4967,0,778,300,43.0,1,0.0,0.0,0.0,-999.0,262.0,56,38,1
3217,0,1170,29,46.0,1,0.0,0.0,0.0,-999.0,0.0,21,19,1
4697,5,23,285,48.0,0,0.0,0.0,0.0,-999.0,4.0,77,54,1
4444,30,3564,17,38.0,1,745.0,0.0,0.0,117.0,2.0,55,61,0
953,121,535,146,23.0,1,613.6,0.0,516.0,14.0,0.0,56,38,0
2241,0,1815,67,37.0,1,2795.93,0.0,780.0,111.0,476.0,6,63,0
2158,0,244,37,32.0,0,0.0,0.0,641.0,-999.0,328.0,56,38,1
4928,0,1087,37,40.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
2479,0,945,38,45.0,1,500.0,0.0,615.0,49.0,601.0,6,62,0
4238,31,2149,24,54.0,0,0.0,0.0,0.0,-999.0,464.0,16,7,1
3095,60,2842,8,29.0,1,0.0,0.0,0.0,-999.0,144.0,56,51,1
2408,123,3482,249,61.0,0,0.0,0.0,0.0,-999.0,331.0,56,38,1
560,124,1865,17,42.0,1,7800.54,0.0,486.0,114.0,0.0,58,2,0
4613,270,260,219,24.0,0,601.12,0.0,567.0,75.0,0.0,56,38,0
843,103,2346,285,53.0,1,0.0,0.0,787.0,-999.0,0.0,77,54,1
1088,0,807,311,61.0,0,0.0,0.0,0.0,-999.0,464.0,58,2,1
1953,45,184,113,31.0,1,530.4,0.0,0.0,33.0,3.0,19,28,0
16,30,98,300,39.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
4195,30,2018,229,27.0,1,800.0,0.0,413.0,25.0,133.0,56,26,0
3243,242,1683,16,27.0,0,0.0,0.0,0.0,-999.0,0.0,56,51,1
1568,0,2064,5,68.0,1,0.0,0.0,0.0,-999.0,394.0,6,63,1
4638,635,3483,318,57.0,1,0.0,0.0,0.0,-999.0,0.0,78,72,1
3051,0,1815,88,52.0,1,1694.83,0.0,837.0,258.0,829.0,16,21,0
2493,0,792,249,37.0,1,0.0,0.0,0.0,-999.0,308.0,56,38,1
19,0,3564,77,60.0,1,512.0,0.0,811.0,97.0,177.0,19,41,0
255,0,1815,303,73.0,1,8890.0,0.0,715.0,376.0,256.0,56,15,0
1655,179,1116,88,48.0,1,0.0,0.0,0.0,-999.0,0.0,16,21,1
354,60,528,17,23.0,1,492.35,0.0,0.0,25.0,0.0,55,61,0
1605,0,2854,219,48.0,1,10000.0,0.0,757.0,239.0,772.0,56,38,0
237,0,114,267,32.0,0,700.0,0.0,613.0,45.0,266.0,56,38,0
3180,50,2557,8,38.0,1,0.0,0.0,0.0,-999.0,443.0,56,51,1
519,0,1622,37,26.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
2100,33,1025,144,37.0,0,0.0,0.0,0.0,-999.0,110.0,56,51,1
896,0,2535,81,42.0,0,0.0,0.0,767.0,-999.0,425.0,21,19,1
555,180,1815,238,55.0,0,2841.56,0.0,452.0,92.0,0.0,16,5,0
1615,45,906,33,33.0,1,975.0,0.0,0.0,26.0,48.0,56,51,0
3995,0,2060,17,72.0,0,0.0,0.0,0.0,-999.0,408.0,55,61,1
1967,0,306,146,34.0,1,3175.0,0.0,642.0,40.0,569.0,56,38,0
4888,0,3126,267,39.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
1106,89,686,27,32.0,0,700.0,0.0,577.0,34.0,153.0,56,26,0
4878,0,1042,285,45.0,1,0.0,0.0,777.0,-999.0,499.0,77,54,1
166,0,16,238,72.0,0,0.0,0.0,0.0,-999.0,569.0,16,5,1
4889,0,1272,35,49.0,1,23472.0,0.0,975.0,314.0,441.0,56,38,0
4186,119,2536,35,32.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
3549,0,2062,312,68.0,0,0.0,0.0,0.0,-999.0,275.0,56,51,1
173,0,2212,267,31.0,1,2500.0,0.0,742.0,38.0,405.0,56,38,0
860,33,1166,37,60.0,0,0.0,0.0,0.0,-999.0,72.0,56,38,1
4075,0,2274,93,35.0,0,875.13,0.0,0.0,87.0,818.0,42,31,0
4264,0,1120,146,51.0,1,6260.0,0.0,753.0,90.0,486.0,56,38,0
1787,0,16,88,72.0,1,0.0,0.0,0.0,-999.0,538.0,16,21,1
3921,0,2771,8,45.0,0,0.0,0.0,0.0,-999.0,973.0,56,51,1
2591,0,2894,70,58.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
4876,121,1815,111,24.0,1,2400.0,0.0,0.0,74.0,0.0,39,42,0
2198,60,1781,318,43.0,1,0.0,0.0,0.0,-999.0,0.0,78,72,1
4855,0,2793,35,37.0,0,3841.0,0.0,0.0,114.0,763.0,56,38,0
954,138,1837,8,65.0,1,0.0,0.0,0.0,-999.0,0.0,56,51,1
3858,0,1324,83,38.0,1,489.99,0.0,597.0,200.0,229.0,16,20,0
3366,0,2361,37,29.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
1598,0,3564,146,26.0,1,609.44,0.0,534.0,32.0,240.0,56,38,0
2904,60,3091,196,24.0,1,600.0,0.0,670.0,17.0,9.0,56,51,0
87,121,3316,311,27.0,0,540.0,0.0,455.0,58.0,0.0,56,2,0
1189,180,1815,100,57.0,0,2800.0,0.0,578.0,137.0,0.0,19,41,0
2664,0,1194,37,59.0,1,0.0,0.0,0.0,-999.0,5.0,56,38,1
1092,0,19,277,82.0,1,0.0,0.0,0.0,-999.0,554.0,56,38,1
2838,33,1815,256,47.0,1,0.0,0.0,555.0,-999.0,326.0,56,51,1
3618,0,385,70,32.0,1,1126.4,0.0,694.0,78.0,10.0,56,38,0
4738,47,1910,12,34.0,1,0.0,0.0,0.0,-999.0,13.0,18,60,1
3270,0,424,10,37.0,0,910.0,0.0,0.0,162.0,783.0,56,38,0
3856,635,1321,267,38.0,0,12500.0,0.0,0.0,112.0,0.0,56,38,0
252,33,1902,146,38.0,1,900.64,0.0,576.0,24.0,107.0,18,60,0
2383,5,3564,219,49.0,0,1450.0,0.0,975.0,76.0,385.0,56,38,0
3851,60,1091,256,28.0,1,0.0,0.0,0.0,-999.0,0.0,56,51,1
2656,0,395,37,66.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
510,60,3564,259,46.0,0,694.72,0.0,734.0,75.0,0.0,21,19,0
4935,0,1336,300,55.0,1,555.36,0.0,713.0,68.0,240.0,56,38,0
3162,33,3564,17,48.0,1,0.0,0.0,0.0,-999.0,0.0,55,61,1
2319,33,564,73,53.0,0,0.0,0.0,0.0,-999.0,2.0,39,17,1
2944,0,1643,267,49.0,1,0.0,0.0,688.0,-999.0,412.0,56,38,1
3655,0,945,28,40.0,0,1092.58,0.0,805.0,40.0,235.0,21,19,0
2222,66,3564,146,65.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
535,5,3564,146,41.0,1,0.0,0.0,0.0,-999.0,170.0,56,38,1
1008,0,1908,244,44.0,0,0.0,0.0,0.0,-999.0,609.0,8,72,1
1578,157,1815,316,31.0,1,1755.08,0.0,648.0,100.0,0.0,56,2,0
3099,59,1821,219,64.0,0,0.0,0.0,616.0,-999.0,217.0,56,38,1
416,63,3544,29,56.0,1,600.0,0.0,721.0,104.0,156.0,21,19,0
2132,76,849,26,53.0,0,530.4,0.0,493.0,12.0,0.0,56,26,0
3498,0,1683,32,24.0,1,0.0,0.0,0.0,-999.0,101.0,58,13,1
1150,30,3198,300,30.0,0,624.0,0.0,736.0,53.0,0.0,56,38,0
4364,362,2808,135,31.0,1,557.44,0.0,635.0,43.0,0.0,56,26,0
2220,0,2861,267,27.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
1502,30,2088,33,33.0,1,900.64,0.0,452.0,62.0,1.0,56,51,0
3702,182,1993,267,37.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
3068,31,1598,142,33.0,1,0.0,0.0,0.0,-999.0,31.0,69,72,1
2698,30,1815,137,28.0,1,445.12,0.0,952.0,15.0,0.0,42,25,0
1032,73,3041,277,40.0,1,650.0,0.0,486.0,25.0,166.0,56,38,0
1969,23,2117,35,30.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
3815,5,946,275,38.0,0,0.0,0.0,0.0,139.0,8.0,16,20,0
1066,0,741,213,33.0,0,778.88,0.0,842.0,64.0,609.0,56,38,0
1602,38,2383,163,24.0,0,680.0,0.0,568.0,53.0,137.0,42,33,0
598,60,1585,26,45.0,1,700.0,400.0,728.0,97.0,0.0,56,26,0
1382,30,1902,17,44.0,1,645.18,0.0,422.0,28.0,214.0,55,61,0
4008,152,3564,83,34.0,1,850.0,0.0,635.0,100.0,0.0,16,20,0
3,30,2062,135,63.0,1,0.0,0.0,0.0,-999.0,110.0,56,26,1
3384,61,3564,265,36.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
161,0,405,100,37.0,0,1845.66,0.0,542.0,102.0,208.0,19,41,0
1634,30,3564,146,45.0,0,2611.2,0.0,620.0,26.0,249.0,56,38,0
1405,89,3367,17,38.0,1,1169.05,0.0,749.0,227.0,0.0,55,61,0
1698,0,3456,146,31.0,0,600.0,0.0,504.0,14.0,8.0,56,38,0
571,30,3533,81,25.0,1,600.0,0.0,591.0,18.0,1.0,21,19,0
1153,0,1079,144,45.0,1,0.0,0.0,757.0,-999.0,367.0,56,51,1
2060,30,1461,219,32.0,0,800.0,0.0,361.0,54.0,164.0,56,38,0
1077,60,2421,267,43.0,1,0.0,0.0,0.0,-999.0,184.0,56,38,1
1056,0,403,285,35.0,0,566.0,470.0,812.0,92.0,551.0,77,54,0
982,121,1815,150,27.0,0,2504.41,0.0,703.0,-999.0,0.0,16,8,0
828,30,1865,73,36.0,1,0.0,0.0,0.0,-999.0,3.0,39,17,1
4644,30,2816,259,33.0,1,380.64,0.0,430.0,39.0,70.0,21,19,0
2676,30,1990,270,48.0,0,550.0,0.0,489.0,167.0,2.0,21,19,0
693,73,945,59,24.0,1,575.0,0.0,601.0,15.0,251.0,21,19,0
156,0,2634,81,41.0,1,814.08,0.0,870.0,45.0,245.0,21,19,0
3431,0,2862,144,29.0,0,775.0,0.0,739.0,79.0,10.0,56,51,0
1210,1,3122,267,42.0,0,0.0,0.0,0.0,-999.0,1.0,56,38,1
4625,33,3060,9,67.0,0,0.0,0.0,0.0,-999.0,261.0,1,72,1
4001,0,973,37,34.0,1,1064.5,0.0,702.0,97.0,111.0,56,38,0
487,89,1815,229,35.0,1,8000.0,0.0,782.0,61.0,246.0,56,26,0
4581,30,2971,300,27.0,1,600.0,0.0,648.0,68.0,1.0,56,38,0
3087,0,2056,83,69.0,0,0.0,0.0,0.0,-999.0,0.0,16,20,1
2385,186,906,34,42.0,1,1170.0,0.0,745.0,52.0,0.0,56,51,0
3173,65,3564,145,49.0,0,0.0,0.0,0.0,-999.0,0.0,56,2,1
1882,60,758,135,30.0,0,700.0,0.0,726.0,28.0,128.0,56,26,0
2609,30,3025,10,65.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
4816,66,887,277,25.0,1,800.0,0.0,514.0,12.0,0.0,56,38,0
2177,0,945,137,28.0,0,910.5,0.0,788.0,1.0,795.0,42,25,0
3993,0,1256,316,42.0,0,517.92,0.0,512.0,41.0,68.0,56,2,0
2740,180,1618,83,40.0,0,520.0,0.0,0.0,53.0,0.0,16,20,0
3505,0,2232,270,28.0,1,900.0,0.0,756.0,37.0,17.0,21,19,0
1429,0,258,17,28.0,0,0.0,0.0,0.0,-999.0,573.0,55,61,1
3047,63,3551,249,43.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
4531,0,1346,249,29.0,0,0.0,0.0,623.0,-999.0,0.0,56,38,1
2768,0,3124,211,32.0,0,0.0,0.0,0.0,-999.0,148.0,56,51,1
3526,0,2070,35,83.0,1,0.0,0.0,0.0,-999.0,422.0,56,38,1
1420,30,2249,37,47.0,1,25000.0,0.0,895.0,54.0,173.0,56,38,0
2456,0,3564,219,47.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
254,333,1672,250,48.0,0,376.48,0.0,778.0,180.0,0.0,77,48,0
4144,0,528,146,39.0,1,2500.0,0.0,945.0,24.0,392.0,56,38,0
561,91,1815,83,30.0,1,2160.0,0.0,794.0,49.0,108.0,16,20,0
4818,63,3054,35,34.0,0,0.0,0.0,0.0,-999.0,410.0,56,38,1
372,0,2287,29,43.0,1,650.0,0.0,541.0,28.0,57.0,21,19,0
3787,59,1815,35,60.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
3295,121,1708,37,40.0,0,1850.0,0.0,569.0,74.0,0.0,56,38,0
4884,0,1419,316,32.0,0,0.0,0.0,531.0,-999.0,308.0,58,2,1
4060,101,124,249,25.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
3026,180,1865,49,44.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
2923,179,3298,33,31.0,0,0.0,0.0,0.0,-999.0,0.0,56,51,1
4391,30,3564,35,40.0,1,14893.39,0.0,524.0,186.0,624.0,56,38,0
3119,180,1844,291,52.0,1,3100.0,0.0,528.0,66.0,0.0,56,13,0
3077,179,3564,17,26.0,1,0.0,0.0,0.0,-999.0,0.0,55,61,1
3093,0,1865,186,47.0,1,4687.23,0.0,906.0,-999.0,507.0,39,39,0
118,0,259,146,43.0,0,3167.0,0.0,857.0,64.0,712.0,56,38,0
3765,0,2404,267,41.0,1,0.0,0.0,750.0,-999.0,536.0,56,38,1
2572,33,83,221,53.0,1,0.0,0.0,0.0,-999.0,325.0,55,69,1
415,30,848,17,31.0,0,819.6,0.0,0.0,89.0,4.0,55,61,0
3545,0,168,17,48.0,0,740.0,0.0,950.0,165.0,675.0,55,61,0
4325,0,140,35,25.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
2509,35,1191,167,31.0,1,851.4,0.0,615.0,50.0,1.0,56,38,0
1829,0,2241,267,38.0,1,15000.0,0.0,902.0,83.0,557.0,56,38,0
1677,0,1815,65,53.0,1,2317.0,0.0,0.0,267.0,663.0,16,8,0
1921,30,1815,134,36.0,1,4108.0,0.0,0.0,120.0,0.0,6,63,0
652,0,3371,167,28.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
135,0,3367,300,23.0,1,557.44,0.0,571.0,38.0,118.0,56,38,0
2961,126,2549,71,49.0,1,0.0,0.0,0.0,-999.0,0.0,16,20,1
558,0,3414,144,47.0,1,0.0,0.0,0.0,-999.0,724.0,56,51,1
4663,30,849,181,32.0,0,488.8,0.0,799.0,59.0,1.0,39,17,0
580,0,3305,167,25.0,0,1300.0,0.0,844.0,10.0,587.0,56,38,0
1998,0,399,316,47.0,0,0.0,0.0,610.0,-999.0,297.0,56,2,1
1037,0,2980,239,40.0,0,0.0,0.0,0.0,150.0,0.0,56,38,1
2741,152,3268,221,31.0,0,594.88,0.0,841.0,59.0,106.0,56,38,0
3703,0,3515,35,42.0,1,0.0,0.0,731.0,161.0,664.0,56,38,0
4145,0,1491,213,34.0,1,700.96,0.0,808.0,25.0,639.0,56,38,0
575,30,751,34,25.0,0,575.0,200.0,699.0,52.0,6.0,56,51,0
3728,33,1815,267,26.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
3121,0,1450,316,25.0,1,565.76,0.0,646.0,52.0,97.0,56,2,0
12,0,2550,146,28.0,0,0.0,0.0,0.0,-999.0,0.0,56,38,1
4608,181,2466,222,55.0,1,0.0,0.0,0.0,-999.0,0.0,19,41,1
717,0,1668,267,31.0,1,0.0,0.0,759.0,-999.0,459.0,56,38,1
1114,0,3516,81,36.0,0,0.0,0.0,0.0,-999.0,281.0,21,19,1
1495,59,1569,167,44.0,1,0.0,0.0,0.0,-999.0,0.0,56,38,1
352,30,783,316,27.0,1,581.41,0.0,573.0,27.0,133.0,56,2,0
637,30,1879,167,41.0,1,550.0,0.0,775.0,28.0,0.0,56,38,0
3466,0,2603,167,58.0,0,0.0,0.0,0.0,-999.0,738.0,56,38,1
4946,0,2750,150,49.0,0,1672.25,0.0,834.0,124.0,342.0,16,8,0
3283,121,906,44,30.0,1,908.7,0.0,632.0,100.0,0.0,21,19,0
3673,60,1365,8,31.0,0,556.25,0.0,785.0,12.0,110.0,56,51,0
2213,0,234,26,30.0,0,2000.0,0.0,669.0,-999.0,74.0,56,26,0
399,0,3096,33,65.0,1,928.54,0.0,767.0,278.0,668.0,56,51,0
1360,0,2480,252,45.0,1,500.0,0.0,0.0,11.0,1.0,26,14,0
524,0,3564,146,38.0,0,0.0,0.0,0.0,-999.0,504.0,56,38,1
3698,0,1512,33,29.0,1,725.0,0.0,653.0,12.0,468.0,56,51,0
4400,60,3564,8,28.0,1,835.72,0.0,639.0,67.0,0.0,56,51,0
4331,0,385,28,45.0,0,1057.6,0.0,668.0,46.0,450.0,21,19,0
2053,180,324,256,34.0,1,5443.61,0.0,0.0,91.0,369.0,56,51,0
2898,5,2510,35,60.0,1,0.0,0.0,0.0,-999.0,334.0,56,38,1
2659,59,2717,70,50.0,0,517.92,0.0,724.0,17.0,250.0,56,38,0
1371,89,836,210,45.0,1,2394.0,0.0,715.0,534.0,0.0,39,37,0
1278,30,933,44,27.0,1,867.75,0.0,708.0,75.0,147.0,21,19,0
1149,0,945,73,46.0,0,827.0,0.0,722.0,1.0,561.0,39,17,0
2113,30,3564,17,32.0,0,1100.48,0.0,853.0,78.0,0.0,55,61,0
2372,91,317,167,23.0,1,522.6,0.0,559.0,20.0,0.0,56,38,0
2934,30,794,211,40.0,0,530.4,0.0,807.0,13.0,141.0,56,51,0
4078,0,27,219,78.0,0,0.0,0.0,0.0,-999.0,524.0,56,38,1
317,121,98,249,40.0,1,1000.0,0.0,668.0,45.0,0.0,56,38,0
1494,544,2839,27,41.0,1,600.0,0.0,612.0,50.0,0.0,56,26,0
3782,30,915,258,51.0,1,1004.64,0.0,830.0,73.0,14.0,42,33,0
842,0,3389,222,37.0,1,1500.0,0.0,670.0,185.0,299.0,19,41,0
4894,0,697,2,69.0,1,0.0,0.0,0.0,-999.0,912.0,19,0,1
2111,43,1651,300,26.0,0,653.12,0.0,748.0,16.0,130.0,56,38,0
858,163,2686,37,44.0,1,676.0,0.0,800.0,197.0,135.0,56,38,0
491,33,2513,123,33.0,1,0.0,0.0,0.0,-999.0,0.0,51,23,1
1047,30,3564,146,32.0,0,798.72,0.0,443.0,103.0,1.0,56,38,0
